CallType,n,low_min_Hz,low_mean_Hz,low_max_Hz,high_min_Hz,high_mean_Hz,high_max_Hz,bw_min_Hz,bw_mean_Hz,bw_max_Hz
Whup,19,37.267,135.33805263157896,223.602,931.677,1598.5616315789473,2608.696,782.609,1463.2235789473684,2459.6279999999997
Harmonica,2,633.54,913.0435,1192.547,1378.882,1732.9195,2086.957,745.3420000000001,819.876,894.4099999999999
Buzz,14,298.137,495.1197857142857,745.342,1304.348,1842.0585714285714,3204.969,1006.211,1346.9387857142858,2608.696
Grunt,27,0.0,142.16674074074075,260.87,1043.478,1848.6209629629632,2645.963,857.143,1706.4542222222224,2571.429
Creak,5,298.137,380.1244,484.472,1639.752,1870.8074000000001,2012.422,1341.615,1490.683,1602.484
Growl,11,37.267,162.27927272727274,372.671,1527.95,2024.7942727272728,2385.093,1378.882,1862.515,2236.0249999999996
Upsweep,4,298.137,326.08725,372.671,1788.82,2198.7577499999998,2571.429,1416.149,1872.6705,2273.292
Descending_moan,17,149.068,250.75217647058824,372.671,782.609,2284.139411764706,3614.907,521.739,2033.3872352941175,3279.503
Chirp,15,708.075,1730.0754666666664,3689.441,1602.484,2293.9773333333337,4062.112,335.4029999999998,563.9018666666667,894.4089999999999
Vibrate,4,186.335,326.087,521.739,1639.752,2506.2115000000003,3167.702,1118.013,2180.1245,2832.2980000000002
Trumpet,22,74.534,186.33527272727272,298.137,1900.621,2573.122590909091,3242.236,1714.2859999999998,2386.787318181818,3093.1679999999997
Shriek,22,37.267,1093.836,3316.77,1788.82,2686.5885,5105.59,670.808,1592.7525,3652.174
Bellow,17,74.534,200.02017647058824,484.472,1527.95,2739.9039411764707,3614.907,1341.615,2539.883764705882,3279.503
Moan,27,37.267,218.08129629629627,745.342,1677.019,2909.5928518518517,4770.186,1080.745,2691.511555555556,4583.851
Ascending_moan,23,149.068,383.1790434782609,596.273,1639.752,3244.221652173913,5813.665,1155.28,2861.042608695652,5664.597
Whistle,4,968.944,1970.31275,2906.832,3056.809,3733.9445,4397.516,632.4429999999998,1763.63175,3428.5719999999997
Cry,20,521.739,1166.45965,3055.901,1639.752,3948.4471,5440.994,559.0060000000001,2781.9874499999996,4285.714
